FamilySize,1,2,3,4,5
1Adult,2795.52,9804.6,20859.28,33855.64,64342.2
2Adult,4193.28,14706.9,31288.92,50783.46,96513.3
2Adult1Child,5031.936,17648.28,37546.704,60940.152,115815.96
2Adult2Child,5870.592,20589.66,43804.488,71096.844,135118.62
2Adult3Child,6709.248,23531.04,50062.272,81253.536,154421.28
1Adult1Child,3634.176,12745.98,27117.064,44012.332,83644.86
1Adult2Child,4472.832,15687.36,33374.848,54169.024,102947.52
1Adult3Child,5311.488,18628.74,39632.632,64325.716,122250.18
