LocalAuthorityCode,LocalAuthority,A ,B ,C ,D ,E ,F ,G ,H ,I 
E07000225,Chichester,927,1079,1232,1384,1688,1993,2311,2767,2767
E07000005,Chiltern,1149,1338,1526,1715,2092,2470,2864,3430,3430
E07000118,Chorley,720,839,957,1075,1312,1548,1795,2150,2150
E07000048,Christchurch,899,1047,1194,1342,1637,1932,2241,2684,2684
E09000001,City of London,622,724,826,928,1132,1336,1550,1856,1856
E07000071,Colchester,776,903,1031,1158,1413,1668,1934,2316,2316
W06000003,Conwy,819,956,1092,1229,1502,1775,2048,2457,2867
E07000029,Copeland,639,744,849,954,1164,1374,1594,1908,1908
E07000150,Corby,595,693,790,888,1083,1279,1483,1776,1776
E07000079,Cotswold,936,1089,1243,1397,1704,2011,2332,2793,2793
E07000163,Craven,842,980,1119,1257,1534,1810,2099,2514,2514
E07000226,Crawley,751,874,997,1121,1367,1614,1871,2241,2241
E09000008,Croydon,740,862,984,1105,1348,1591,1845,2210,2210
E07000096,Dacorum,859,1000,1141,1282,1564,1846,2140,2563,2563
E07000107,Dartford,779,906,1034,1162,1418,1673,1940,2324,2324
E07000151,Daventry,811,944,1077,1210,1476,1742,2021,2420,2420
W06000004,Denbighshire,920,1073,1226,1380,1686,1993,2300,2759,3219
E07000035,Derbyshire Dales,896,1044,1191,1338,1632,1927,2234,2676,2676
E07000108,Dover,712,829,945,1062,1296,1530,1774,2125,2125
E09000009,Ealing,715,832,949,1067,1301,1536,1781,2133,2133
E07000009,East Cambridgeshire,826,962,1097,1233,1504,1775,2059,2466,2466
E07000040,East Devon,878,1022,1166,1310,1599,1887,2188,2621,2621
E07000049,East Dorset,1058,1232,1406,1580,1927,2275,2638,3159,3159
E07000085,East Hampshire,939,1093,1247,1401,1710,2018,2340,2803,2803
E07000242,East Hertfordshire,939,1093,1247,1402,1710,2018,2341,2803,2803
E07000137,East Lindsey,594,691,789,886,1081,1276,1480,1773,1773
E07000152,East Northamptonshire,742,864,986,1107,1351,1595,1849,2215,2215
E07000193,East Staffordshire,685,798,910,1023,1248,1473,1708,2046,2046
E07000061,Eastbourne,747,870,992,1115,1360,1606,1862,2230,2230
E07000086,Eastleigh,769,896,1022,1148,1401,1654,1918,2297,2297
E07000030,Eden,811,944,1077,1210,1477,1743,2021,2421,2421
E07000207,Elmbridge,1184,1379,1573,1767,2156,2545,2951,3535,3535
E09000010,Enfield,689,803,916,1029,1255,1482,1718,2058,2058
E07000072,Epping Forest,942,1097,1252,1407,1716,2026,2349,2813,2813
E07000208,Epsom and Ewell,1075,1252,1428,1605,1958,2311,2680,3210,3210
E07000036,Erewash,635,739,844,948,1156,1365,1583,1896,1896
E07000041,Exeter,706,822,938,1054,1286,1518,1761,2109,2109
E07000087,Fareham,808,941,1074,1206,1472,1737,2014,2413,2413
E07000010,Fenland,698,813,927,1042,1271,1500,1740,2084,2084
W06000005,Flintshire,836,976,1115,1255,1533,1812,2091,2509,2927
E07000201,Forest Heath,680,791,903,1015,1238,1461,1694,2029,2029
E07000080,Forest of Dean,751,875,998,1122,1368,1615,1873,2243,2243
E07000119,Fylde,802,934,1065,1197,1461,1724,1999,2394,2394
E07000173,Gedling,751,874,998,1121,1368,1614,1872,2242,2242
E07000081,Gloucester,643,748,854,959,1170,1381,1602,1918,1918
E07000088,Gosport,690,803,916,1029,1256,1482,1719,2059,2059
E07000109,Gravesham,759,883,1008,1133,1382,1631,1891,2265,2265
E07000145,Great Yarmouth,563,656,748,840,1025,1210,1403,1681,1681
E09000011,Greenwich,562,654,746,838,1023,1207,1400,1677,1677
E07000209,Guildford,1027,1196,1365,1533,1871,2208,2560,3066,3066
W06000002,Gwynedd,914,1066,1219,1371,1676,1980,2285,2742,3199
E09000012,Hackney,507,591,674,757,924,1090,1264,1514,1514
E07000164,Hambleton,874,1017,1161,1304,1591,1878,2178,2608,2608
E09000013,Hammersmith and Fulham,592,690,787,884,1079,1273,1477,1768,1768
E07000131,Harborough,880,1025,1169,1314,1603,1892,2194,2628,2628
E09000014,Haringey,643,748,854,959,1170,1381,1602,1919,1919
E07000073,Harlow,710,826,943,1060,1293,1526,1769,2119,2119
E07000165,Harrogate,911,1061,1210,1360,1659,1958,2271,2720,2720
E09000015,Harrow,918,1068,1219,1370,1671,1973,2288,2740,2740
E07000089,Hart,1022,1190,1357,1525,1861,2196,2547,3050,3050
E07000062,Hastings,619,720,822,923,1127,1330,1542,1847,1847
E07000090,Havant,702,817,932,1048,1278,1509,1750,2095,2095
E09000016,Havering,801,932,1064,1195,1458,1721,1996,2390,2390
E07000098,Hertsmere,906,1055,1203,1352,1650,1947,2258,2704,2704
E07000037,High Peak,737,858,979,1101,1343,1585,1838,2201,2201
E09000017,Hillingdon,803,935,1067,1198,1462,1726,2001,2397,2397
E07000132,Hinckley and Bosworth,724,843,962,1081,1319,1557,1806,2163,2163
E07000227,Horsham,971,1130,1290,1449,1768,2087,2420,2898,2898
E09000018,Hounslow,725,845,964,1083,1321,1559,1808,2166,2166
E07000011,Huntingdonshire,853,993,1133,1273,1553,1833,2126,2546,2546
E07000120,Hyndburn,543,632,721,810,989,1167,1353,1621,1621
E07000202,Ipswich,652,759,866,974,1188,1402,1626,1947,1947
W06000001,Isle of Anglesey,828,966,1104,1242,1518,1794,2070,2485,2899
E09000019,Islington,600,699,797,896,1093,1290,1496,1791,1791
E09000020,Kensington and Chelsea,788,918,1047,1176,1435,1694,1965,2353,2353
E07000153,Kettering,670,781,891,1001,1221,1441,1671,2001,2001
E07000146,King's Lynn and West Norfolk,689,802,915,1029,1255,1481,1718,2057,2057
E09000021,Kingston upon Thames,1037,1207,1378,1548,1888,2229,2585,3096,3096
E09000022,Lambeth,568,662,755,848,1035,1221,1416,1696,1696
E07000121,Lancaster,660,768,877,985,1202,1419,1645,1970,1970
E07000063,Lewes,898,1046,1193,1341,1636,1931,2239,2682,2682
E09000023,Lewisham,568,662,755,848,1035,1222,1417,1697,1697
E07000194,Lichfield,806,938,1070,1203,1467,1732,2009,2405,2405
E07000138,Lincoln,539,628,716,805,982,1159,1344,1609,1609
E07000110,Maidstone,870,1013,1156,1299,1584,1870,2169,2597,2597
E07000074,Maldon,867,1009,1151,1294,1578,1863,2161,2588,2588
E07000235,Malvern Hills,853,993,1133,1273,1553,1833,2126,2546,2546
E07000174,Mansfield,630,733,837,940,1147,1354,1570,1880,1880
E07000133,Melton,812,946,1079,1212,1479,1746,2024,2424,2424
E07000187,Mendip,763,888,1013,1139,1389,1640,1901,2277,2277
W06000024,Merthyr Tydfil,991,1156,1321,1486,1816,2146,2476,2972,3467
E09000024,Merton,789,918,1048,1177,1436,1695,1966,2355,2355
E07000042,Mid Devon,849,988,1127,1267,1546,1824,2116,2534,2534
