AgeRange,Occupation,ThousandEmployed,MedianAnnualWage,Percentage
50-59,Caring personal service occupations,32,20167,1
50-59,"Leisure, travel and related personal service occupations",26,22683,1
50-59,Sales and customer service occupations,53,20741,2
50-59,Sales occupations,36,19242,2
50-59,Customer service occupations,16,26156,1
50-59,"Process, plant and machine operatives",292,25441,13
50-59,"Process, plant and machine operatives",114,25530,5
50-59,Transport and mobile machine drivers and operatives,178,25426,8
50-59,Elementary occupations,183,21434,8
50-59,Elementary trades and related occupations,36,21206,2
50-59,Elementary administration and service occupations,147,21510,7
60,"Managers, directors and senior officials",118,41463,17
60,Corporate managers and directors,103,43087,15
60,Professional occupation,116,41482,16
60,"Science, research, engineering and technology professionals",44,41838,6
60,Teaching and educational professionals,22,49233,3
60,"Business, media and public service professionals",39,38199,6
60,Associate professional and technical occupations,85,32552,12
60,"Science, engineering and technology associate professionals",25,28818,4
60,Business and public service associate professionals,49,36026,7
60,Administrative and secretarial occupations,39,24003,6
60,Administrative occupations,37,24172,5
60,Skilled trades occupations,119,26631,17
60,Skilled agricultural and related trades,8,18688,1
60,"Skilled metal, electrical and electronic trades",74,29756,11
60,Skilled construction and building trades,22,24540,3
60,"Textiles, printing and other skilled trades",15,20825,2
60,"Caring, leisure and other service occupations",23,19830,3
60,Caring personal service occupations,12,19890,2
60,"Leisure, travel and related personal service occupations",10,19742,1
60,Sales and customer service occupations,16,20100,2
60,Sales occupations,11,18967,2
60,Customer service occupations,5,23967,1
60,"Process, plant and machine operatives",116,23542,16
60,"Process, plant and machine operatives",41,22132,6
60,Transport and mobile machine drivers and operatives,75,23935,11
60,Elementary occupations,75,20274,11
60,Elementary trades and related occupations,16,20027,2
60,Elementary administration and service occupations,58,20302,8
