AgeRange,Occupation,ThousandEmployed,MedianAnnualWage,Percentage,PercentageAdded
18-21,Professional occupation,9,16928,5,3
18-21,Associate professional and technical occupations,25,16430,13,10
18-21,"Science, engineering and technology associate professionals",13,16072,7,14
18-21,Administrative and secretarial occupations,14,15353,7,19
18-21,Administrative occupations,14,15440,7,23
18-21,Skilled trades occupations,49,16061,26,38
18-21,"Skilled metal, electrical and electronic trades",32,16545,17,48
18-21,Skilled construction and building trades,9,14281,5,50
18-21,Sales and customer service occupations,20,14379,11,57
18-21,Sales occupations,16,14445,9,61
18-21,Customer service occupations,5,14030,3,63
18-21,"Process, plant and machine operatives",13,15571,7,67
18-21,"Process, plant and machine operatives",12,15530,6,71
18-21,Elementary occupations,48,14088,26,85
18-21,Elementary trades and related occupations,11,15270,6,89
18-21,Elementary administration and service occupations,37,13724,20,100
22-29,"Managers, directors and senior officials",85,26939,6,3
22-29,Corporate managers and directors,69,27918,5,6
22-29,Other managers and proprietors,16,24137,1,6
22-29,Professional occupation,273,30000,20,16
22-29,"Science, research, engineering and technology professionals",109,30000,8,20
22-29,Health professionals,30,27608,2,21
22-29,Teaching and educational professionals,36,29130,3,22
22-29,"Business, media and public service professionals",98,31323,7,26
22-29,Associate professional and technical occupations,249,26611,18,35
22-29,"Science, engineering and technology associate professionals",73,25308,5,37
22-29,Health and social care associate professionals,9,21104,1,38
22-29,Protective service occupations,25,30419,2,39
22-29,"Culture, media and sports occupations",20,22326,1,39
22-29,Business and public service associate professionals,122,28062,9,44
22-29,Administrative and secretarial occupations,103,20510,7,47
22-29,Administrative occupations,96,20737,7,51
22-29,Secretarial and related occupations,7,16621,1,51
22-29,Skilled trades occupations,260,23887,19,60
22-29,Skilled agricultural and related trades,14,17928,1,61
22-29,"Skilled metal, electrical and electronic trades",149,26561,11,66
22-29,Skilled construction and building trades,47,24664,3,68
22-29,"Textiles, printing and other skilled trades",49,19344,4,70
22-29,"Caring, leisure and other service occupations",44,17818,3,71
22-29,Caring personal service occupations,31,17236,2,72
22-29,Sales and customer service occupations,113,17889,8,76
22-29,Sales occupations,74,17399,5,79
22-29,Customer service occupations,39,19020,3,80
22-29,"Process, plant and machine operatives",116,21809,8,85
22-29,"Process, plant and machine operatives",77,21587,6,87
22-29,Transport and mobile machine drivers and operatives,39,22044,3,89
22-29,Elementary occupations,156,17680,11,94
22-29,Elementary trades and related occupations,34,18834,2,96
22-29,Elementary administration and service occupations,122,17378,9,100
30-39,"Managers, directors and senior officials",317,40939,13,6
30-39,Corporate managers and directors,268,45317,11,12
30-39,Other managers and proprietors,49,30000,2,13
30-39,Professional occupation,611,39941,25,25
30-39,"Science, research, engineering and technology professionals",263,41716,11,31
30-39,Health professionals,60,38539,2,32
30-39,Teaching and educational professionals,100,38184,4,34
30-39,"Business, media and public service professionals",188,39415,8,38
30-39,Associate professional and technical occupations,476,33842,20,48
30-39,"Science, engineering and technology associate professionals",110,28998,5,50
30-39,Health and social care associate professionals,21,28185,1,50
30-39,Protective service occupations,85,36611,3,52
30-39,"Culture, media and sports occupations",26,28874,1,53
30-39,Business and public service associate professionals,235,36562,10,58
30-39,Administrative and secretarial occupations,129,24689,5,60
30-39,Administrative occupations,122,24865,5,63
30-39,Secretarial and related occupations,8,22462,0,63
30-39,Skilled trades occupations,327,26613,13,70
30-39,Skilled agricultural and related trades,13,19608,1,70
30-39,"Skilled metal, electrical and electronic trades",189,29999,8,74
30-39,Skilled construction and building trades,58,26203,2,75
30-39,"Textiles, printing and other skilled trades",67,21826,3,76
30-39,"Caring, leisure and other service occupations",58,20112,2,77
30-39,Caring personal service occupations,37,19078,2,78
30-39,"Leisure, travel and related personal service occupations",21,22281,1,79
30-39,Sales and customer service occupations,112,20289,5,81
30-39,Sales occupations,69,19422,3,82
30-39,Customer service occupations,43,21979,2,83
30-39,"Process, plant and machine operatives",213,24530,9,88
30-39,"Process, plant and machine operatives",114,23133,5,90
30-39,Transport and mobile machine drivers and operatives,100,25378,4,92
30-39,Elementary occupations,197,20477,8,96
30-39,Elementary trades and related occupations,41,20399,2,97
30-39,Elementary administration and service occupations,156,20492,6,100
40-49,"Managers, directors and senior officials",473,50978,18,9
40-49,Corporate managers and directors,430,53094,16,17
40-49,Other managers and proprietors,43,37118,2,18
40-49,Professional occupation,621,44743,23,29
40-49,"Science, research, engineering and technology professionals",254,45040,10,34
40-49,Health professionals,82,44400,3,36
40-49,Teaching and educational professionals,109,44200,4,38
40-49,"Business, media and public service professionals",177,44539,7,41
40-49,Associate professional and technical occupations,473,37710,18,50
40-49,"Science, engineering and technology associate professionals",98,32342,4,52
40-49,Health and social care associate professionals,19,28630,1,52
40-49,Protective service occupations,103,39852,4,54
