Help,Deprivation Decile (WIMD 2014),Sex,Age,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal
5Male,5,Male,SixtyToSixtyfour,51,62,63,71,76,80,81,82,100,0
5Male,5,Male,SixtyfiveToSixtynine,48,63,63,71,76,82,82,83,100,0
5Male,5,Male,SeventyToSeventyfour,42,56,57,67,72,80,80,81,100,0
5Male,5,Male,SeventyfiveToSeventynine,34,51,52,62,69,77,77,78,100,0
5Male,5,Male,EightyToEightyfour,26,41,42,52,60,69,69,71,100,0
5Male,5,Male,EightyfiveToEightynine,18,33,34,44,53,63,63,65,100,0
5Male,5,Male,Ninety,9,26,27,36,44,55,55,57,100,0
5Female,5,Female,lessThan1,0,0,0,0,0,1,2,2,31,100
5Female,5,Female,OneToFour,19,31,0,0,0,38,44,0,100,0
5Female,5,Female,FiveToNine,7,27,0,0,0,33,0,53,100,0
5Female,5,Female,TenToFourteen,27,53,0,0,0,0,0,80,100,0
5Female,5,Female,FifteenToNineteen,9,0,11,0,13,14,36,61,100,0
5Female,5,Female,TwentyToTwentyfour,9,11,12,15,16,20,43,71,100,0
5Female,5,Female,TwentyfiveToTwentyNine,15,16,0,18,0,21,38,57,100,0
5Female,5,Female,ThirtyToThirtyfour,16,19,20,22,25,30,46,64,100,0
5Female,5,Female,ThirtyfiveToThirtynine,16,20,22,27,28,32,49,63,100,0
5Female,5,Female,FourtyToFourtyfour,24,28,29,39,40,44,56,64,100,0
5Female,5,Female,FourtyfiveToFourtynine,28,31,33,46,50,58,65,71,100,0
5Female,5,Female,FiftyToFiftyfour,31,37,38,55,59,66,70,74,100,0
5Female,5,Female,FiftyfiveToFiftyNine,39,44,45,65,69,75,78,82,100,0
5Female,5,Female,SixtyToSixtyfour,45,53,54,71,74,81,82,84,100,0
5Female,5,Female,SixtyfiveToSixtynine,46,56,57,73,77,84,84,86,100,0
5Female,5,Female,SeventyToSeventyfour,42,56,57,71,75,83,84,85,100,0
5Female,5,Female,SeventyfiveToSeventynine,36,51,52,66,72,80,81,82,100,0
5Female,5,Female,EightyToEightyfour,30,45,46,61,68,76,77,79,100,0
5Female,5,Female,EightyfiveToEightynine,22,40,42,56,63,71,71,74,100,0
5Female,5,Female,Ninety,15,36,37,50,57,66,67,69,100,0
6Male,6,Male,lessThan1,1,0,0,0,0,2,0,5,37,100
6Male,6,Male,OneToFour,16,26,0,0,0,32,0,47,100,0
6Male,6,Male,FiveToNine,13,25,0,0,0,0,38,63,100,0
6Male,6,Male,TenToFourteen,22,33,0,0,0,0,44,56,100,0
6Male,6,Male,FifteenToNineteen,10,17,0,0,0,21,38,59,100,0
6Male,6,Male,TwentyToTwentyfour,17,21,0,0,23,31,44,63,100,0
6Male,6,Male,TwentyfiveToTwentyNine,30,36,0,38,40,48,56,72,100,0
6Male,6,Male,ThirtyToThirtyfour,36,0,0,38,48,56,67,75,100,0
6Male,6,Male,ThirtyfiveToThirtynine,48,49,0,50,54,56,62,66,100,0
6Male,6,Male,FourtyToFourtyfour,39,41,43,46,50,55,59,64,100,0
6Male,6,Male,FourtyfiveToFourtynine,48,53,54,59,65,68,73,76,100,0
6Male,6,Male,FiftyToFiftyfour,49,55,56,63,68,72,75,77,100,0
6Male,6,Male,FiftyfiveToFiftyNine,53,61,62,67,72,77,78,80,100,0
6Male,6,Male,SixtyToSixtyfour,53,63,64,70,74,79,80,81,100,0
6Male,6,Male,SixtyfiveToSixtynine,50,63,64,71,75,81,81,83,100,0
6Male,6,Male,SeventyToSeventyfour,42,57,57,66,72,79,79,81,100,0
6Male,6,Male,SeventyfiveToSeventynine,35,50,51,61,69,77,77,79,100,0
6Male,6,Male,EightyToEightyfour,25,40,42,51,59,68,69,70,100,0
6Male,6,Male,EightyfiveToEightynine,17,33,34,44,52,62,63,64,100,0
6Male,6,Male,Ninety,9,25,26,35,44,55,55,57,100,0
6Female,6,Female,lessThan1,3,0,0,0,0,5,0,0,19,100
6Female,6,Female,OneToFour,7,0,0,0,13,20,0,0,100,0
6Female,6,Female,FiveToNine,33,42,0,0,50,0,58,67,100,0
6Female,6,Female,TenToFourteen,18,36,0,0,0,0,0,45,100,0
6Female,6,Female,FifteenToNineteen,6,12,0,0,15,21,38,56,100,0
6Female,6,Female,TwentyToTwentyfour,16,23,0,0,0,26,39,61,100,0
6Female,6,Female,TwentyfiveToTwentyNine,36,39,0,0,0,43,64,73,100,0
6Female,6,Female,ThirtyToThirtyfour,37,41,42,46,48,54,68,75,100,0
6Female,6,Female,ThirtyfiveToThirtynine,45,51,0,54,56,57,65,71,100,0
6Female,6,Female,FourtyToFourtyfour,38,42,44,46,52,58,63,69,100,0
6Female,6,Female,FourtyfiveToFourtynine,47,51,52,58,61,66,71,73,100,0
6Female,6,Female,FiftyToFiftyfour,54,59,60,65,69,74,77,80,100,0
6Female,6,Female,FiftyfiveToFiftyNine,56,62,63,70,74,78,80,82,100,0
6Female,6,Female,SixtyToSixtyfour,56,65,65,72,75,81,82,83,100,0
6Female,6,Female,SixtyfiveToSixtynine,53,65,65,72,77,83,84,85,100,0
6Female,6,Female,SeventyToSeventyfour,46,59,59,68,73,80,80,81,100,0
6Female,6,Female,SeventyfiveToSeventynine,36,50,51,60,67,75,75,77,100,0
6Female,6,Female,EightyToEightyfour,24,40,41,51,59,68,68,70,100,0
6Female,6,Female,EightyfiveToEightynine,18,32,33,42,51,62,62,64,100,0
6Female,6,Female,Ninety,9,25,26,34,43,54,54,57,100,0
7Male,7,Male,lessThan1,2,3,0,0,0,0,0,0,24,100
7Male,7,Male,OneToFour,15,22,0,0,0,30,37,44,100,0
7Male,7,Male,FiveToNine,50,0,0,0,0,60,70,80,100,0
7Male,7,Male,TenToFourteen,29,36,0,0,0,0,43,64,100,0
7Male,7,Male,FifteenToNineteen,10,12,0,0,0,21,50,76,100,0
7Male,7,Male,TwentyToTwentyfour,5,8,11,0,12,22,43,77,100,0
7Male,7,Male,TwentyfiveToTwentyNine,19,22,0,23,27,31,53,70,100,0
7Male,7,Male,ThirtyToThirtyfour,15,16,0,20,22,27,47,64,100,0
7Male,7,Male,ThirtyfiveToThirtynine,21,0,0,27,28,30,51,63,100,0
7Male,7,Male,FourtyToFourtyfour,27,30,31,39,43,51,62,73,100,0
7Male,7,Male,FourtyfiveToFourtynine,23,29,29,44,48,56,68,75,100,0
7Male,7,Male,FiftyToFiftyfour,36,41,41,58,61,69,76,79,100,0
7Male,7,Male,FiftyfiveToFiftyNine,42,47,49,66,70,76,80,83,100,0
7Male,7,Male,SixtyToSixtyfour,46,53,54,71,74,81,83,86,100,0
7Male,7,Male,SixtyfiveToSixtynine,50,59,60,76,80,86,87,88,100,0
7Male,7,Male,SeventyToSeventyfour,45,57,58,73,78,85,85,86,100,0
7Male,7,Male,SeventyfiveToSeventynine,37,51,52,67,73,80,80,82,100,0
7Male,7,Male,EightyToEightyfour,29,45,46,60,67,75,75,77,100,0
7Male,7,Male,EightyfiveToEightynine,24,41,42,56,64,72,72,74,100,0
7Male,7,Male,Ninety,17,36,37,50,57,65,65,68,100,0
7Female,7,Female,lessThan1,0,0,0,0,0,0,0,5,29,100
7Female,7,Female,OneToFour,8,38,0,0,0,46,0,54,100,0
7Female,7,Female,FiveToNine,33,42,0,0,0,0,0,0,100,0
7Female,7,Female,TenToFourteen,29,43,0,0,0,0,0,0,100,0
7Female,7,Female,FifteenToNineteen,29,0,0,0,0,0,50,71,100,0
7Female,7,Female,TwentyToTwentyfour,4,15,19,0,22,30,41,59,100,0
7Female,7,Female,TwentyfiveToTwentyNine,26,32,0,0,0,35,47,68,100,0
7Female,7,Female,ThirtyToThirtyfour,43,0,0,0,0,50,52,57,100,0
7Female,7,Female,ThirtyfiveToThirtynine,47,51,52,54,59,64,69,72,100,0
7Female,7,Female,FourtyToFourtyfour,46,51,52,54,57,63,68,73,100,0
7Female,7,Female,FourtyfiveToFourtynine,54,58,59,63,68,73,77,79,100,0
7Female,7,Female,FiftyToFiftyfour,55,60,61,65,68,74,76,78,100,0
7Female,7,Female,FiftyfiveToFiftyNine,57,62,62,67,71,76,77,80,100,0
7Female,7,Female,SixtyToSixtyfour,54,62,63,70,73,79,80,81,100,0
7Female,7,Female,SixtyfiveToSixtynine,54,64,65,72,76,81,82,84,100,0
7Female,7,Female,SeventyToSeventyfour,46,59,60,67,73,79,80,81,100,0
7Female,7,Female,SeventyfiveToSeventynine,37,51,52,60,68,76,76,78,100,0
7Female,7,Female,EightyToEightyfour,27,41,42,52,61,69,0,71,100,0
7Female,7,Female,EightyfiveToEightynine,17,30,31,42,51,61,61,63,100,0
7Female,7,Female,Ninety,9,26,27,35,44,55,55,57,100,0
8Male,8,Male,lessThan1,0,2,0,0,0,0,0,3,27,100
8Male,8,Male,OneToFour,12,29,0,0,35,0,0,53,100,0
8Male,8,Male,FiveToNine,33,44,0,0,0,0,0,0,100,0
8Male,8,Male,TenToFourteen,38,0,0,0,0,0,0,0,100,0
8Male,8,Male,FifteenToNineteen,16,19,21,0,23,30,44,63,100,0
8Male,8,Male,TwentyToTwentyfour,12,0,13,15,0,0,40,68,100,0
8Male,8,Male,TwentyfiveToTwentyNine,16,21,0,0,23,24,45,58,100,0
8Male,8,Male,ThirtyToThirtyfour,21,22,0,25,27,28,49,59,100,0
8Male,8,Male,ThirtyfiveToThirtynine,22,23,24,27,30,38,57,69,100,0
8Male,8,Male,FourtyToFourtyfour,23,24,24,35,36,44,59,68,100,0
8Male,8,Male,FourtyfiveToFourtynine,28,33,34,49,51,56,64,72,100,0
8Male,8,Male,FiftyToFiftyfour,35,40,41,57,61,68,73,76,100,0
8Male,8,Male,FiftyfiveToFiftyNine,42,48,49,65,70,77,80,83,100,0
8Male,8,Male,SixtyToSixtyfour,47,55,56,71,75,81,82,84,100,0
8Male,8,Male,SixtyfiveToSixtynine,50,58,59,74,79,85,86,87,100,0
8Male,8,Male,SeventyToSeventyfour,46,57,58,71,76,83,83,85,100,0
8Male,8,Male,SeventyfiveToSeventynine,39,51,52,66,72,80,80,82,100,0
8Male,8,Male,EightyToEightyfour,31,45,46,59,66,75,75,77,100,0
8Male,8,Male,EightyfiveToEightynine,25,41,42,55,64,72,72,74,100,0
8Male,8,Male,Ninety,17,36,37,48,55,66,66,68,100,0
8Female,8,Female,lessThan1,0,1,0,0,0,3,0,0,29,100
8Female,8,Female,OneToFour,14,21,0,0,0,0,0,36,100,0
8Female,8,Female,FiveToNine,25,42,0,0,0,50,0,67,100,0
8Female,8,Female,TenToFourteen,30,60,0,0,0,0,0,70,100,0
8Female,8,Female,FifteenToNineteen,20,0,24,0,0,28,40,56,100,0
8Female,8,Female,TwentyToTwentyfour,9,13,16,0,19,0,31,56,100,0
8Female,8,Female,TwentyfiveToTwentyNine,23,28,0,0,30,40,51,63,100,0
8Female,8,Female,ThirtyToThirtyfour,37,39,40,0,44,46,56,67,100,0
8Female,8,Female,ThirtyfiveToThirtynine,50,55,58,0,63,65,77,83,100,0
8Female,8,Female,FourtyToFourtyfour,50,53,54,56,58,60,69,72,100,0
8Female,8,Female,FourtyfiveToFourtynine,61,63,63,66,68,72,77,78,100,0
8Female,8,Female,FiftyToFiftyfour,56,61,61,65,67,73,76,80,100,0
8Female,8,Female,FiftyfiveToFiftyNine,58,64,64,70,75,79,80,82,100,0
8Female,8,Female,SixtyToSixtyfour,58,65,65,71,74,80,81,83,100,0
8Female,8,Female,SixtyfiveToSixtynine,54,63,64,70,74,81,81,84,100,0
8Female,8,Female,SeventyToSeventyfour,46,59,60,69,74,80,80,82,100,0
8Female,8,Female,SeventyfiveToSeventynine,37,51,52,60,67,74,74,76,100,0
8Female,8,Female,EightyToEightyfour,26,40,42,51,59,68,68,70,100,0
8Female,8,Female,EightyfiveToEightynine,18,32,33,43,52,62,0,64,100,0
8Female,8,Female,Ninety,10,26,28,36,45,56,56,58,100,0
9Male,9,Male,lessThan1,1,5,0,0,0,7,0,8,27,100
9Male,9,Male,OneToFour,17,42,0,0,50,0,58,83,100,0
9Male,9,Male,FiveToNine,25,0,0,0,0,0,38,50,100,0
9Male,9,Male,TenToFourteen,19,0,0,0,0,25,38,63,100,0
9Male,9,Male,FifteenToNineteen,17,22,0,0,24,27,49,71,100,0
9Male,9,Male,TwentyToTwentyfour,5,6,8,0,0,16,48,73,100,0
9Male,9,Male,TwentyfiveToTwentyNine,14,16,0,18,20,26,56,76,100,0
9Male,9,Male,ThirtyToThirtyfour,19,22,0,26,27,36,55,67,100,0
9Male,9,Male,ThirtyfiveToThirtynine,19,20,22,28,29,33,44,57,100,0
9Male,9,Male,FourtyToFourtyfour,19,23,0,30,35,45,64,77,100,0
9Male,9,Male,FourtyfiveToFourtynine,33,39,40,51,56,61,72,77,100,0
