AgeMarriage,Female,Male
17,0,0
18,1,0
19,3,1
20,7,2
21,14,4
22,25,9
23,39,17
24,62,29
25,97,49
26,136,75
27,184,109
28,234,148
29,286,187
30,340,236
31,388,281
32,431,322
33,483,364
34,511,405
35,542,442
36,571,478
37,601,506
38,623,524
39,636,551
40,659,578
41,674,604
42,688,618
43,712,645
44,731,663
45,745,682
46,767,701
47,783,717
48,794,726
49,808,748
50,815,763
